Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Brasil,Brazil,Otros,Otros,2020,476852
Chile,Chile,Venezuela,Venezuela,2020,523553
Chile,Chile,Peru,Peru,2020,240273
Chile,Chile,Haiti,Haiti,2020,236912
Chile,Chile,Colombia,Colombia,2020,173487
Chile,Chile,Bolivia,Bolivia,2020,128782
Chile,Chile,Otros,Otros,2020,299387
Colombia,Colombia,Venezuela,Venezuela,2020,1780486
Colombia,Colombia,Estados Unidos,United States of America,2020,20810
Colombia,Colombia,Ecuador,Ecuador,2020,19180
Colombia,Colombia,España,Spain,2020,17122
Colombia,Colombia,Argentina,Argentina,2020,5719
Colombia,Colombia,Otros,Otros,2020,49687
Ecuador,Ecuador,Venezuela,Venezuela,2020,388861
Ecuador,Ecuador,Colombia,Colombia,2020,203470
Ecuador,Ecuador,Estados Unidos,United States of America,2020,28026
Ecuador,Ecuador,Peru,Peru,2020,14331
Ecuador,Ecuador,Chile,Chile,2020,11859
Ecuador,Ecuador,Otros,Otros,2020,63716
Paraguay,Paraguay,Brasil,Brazil,2020,79897
Paraguay,Paraguay,Argentina,Argentina,2020,61833
Paraguay,Paraguay,Uruguay,Uruguay,2020,3168
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2020,2759
Paraguay,Paraguay,Canadá,Canada,2020,2471
Paraguay,Paraguay,Otros,Otros,2020,15303
Peru,Peru,Venezuela,Venezuela,2020,941889
Peru,Peru,Estados Unidos,United States of America,2020,41292
Peru,Peru,China,China,2020,31931
Peru,Peru,Bolivia,Bolivia,2020,28165
Peru,Peru,Argentina,Argentina,2020,26854
Peru,Peru,Otros,Otros,2020,149892
Uruguay,Uruguay,Argentina,Argentina,2020,33022
Uruguay,Uruguay,España,Spain,2020,19374
Uruguay,Uruguay,Venezuela,Venezuela,2020,14908
Uruguay,Uruguay,Brasil,Brazil,2020,14762
Uruguay,Uruguay,Italia,Italy,2020,8744
Uruguay,Uruguay,Otros,Otros,2020,10155
