Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Peru,Peru,Argentina,Argentina,2000,8282
Peru,Peru,Otros,Otros,2000,40344
Uruguay,Uruguay,Argentina,Argentina,2000,21691
Uruguay,Uruguay,España,Spain,2000,24303
Uruguay,Uruguay,Venezuela,Venezuela,2000,659
Uruguay,Uruguay,Brasil,Brazil,2000,11507
Uruguay,Uruguay,Italia,Italy,2000,13403
Uruguay,Uruguay,Otros,Otros,2000,9914
Cuba,Cuba,España,Spain,2005,3449
Cuba,Cuba,Italia,Italy,2005,246
Cuba,Cuba,Rusia,Russia,2005,1563
Cuba,Cuba,Venezuela,Venezuela,2005,206
Cuba,Cuba,Estados Unidos,United States of America,2005,459
Cuba,Cuba,Otros,Otros,2005,4167
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2005,270852
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2005,11282
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2005,17831
Republica-Dominicana,Dominican Republic,España,Spain,2005,7852
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2005,8253
Republica-Dominicana,Dominican Republic,Otros,Otros,2005,54641
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2005,268157
Costa Rica,Costa Rica,Venezuela,Venezuela,2005,691
Costa Rica,Costa Rica,Colombia,Colombia,2005,7708
Costa Rica,Costa Rica,El Salvador,El Salvador,2005,6451
Costa Rica,Costa Rica,Estados Unidos,United States of America,2005,6336
Costa Rica,Costa Rica,Otros,Otros,2005,28796
El Salvador,El Salvador,Honduras,Honduras,2005,10362
El Salvador,El Salvador,Guatemala,Guatemala,2005,7367
El Salvador,El Salvador,Nicaragua,Nicaragua,2005,6024
El Salvador,El Salvador,Estados Unidos,United States of America,2005,4871
El Salvador,El Salvador,México,Mexico,2005,1541
El Salvador,El Salvador,Otros,Otros,2005,5729
Guatemala,Guatemala,El Salvador,El Salvador,2005,14364
Guatemala,Guatemala,México,Mexico,2005,13160
Guatemala,Guatemala,Estados Unidos,United States of America,2005,6473
Guatemala,Guatemala,Nicaragua,Nicaragua,2005,6424
Guatemala,Guatemala,Honduras,Honduras,2005,6294
Guatemala,Guatemala,Otros,Otros,2005,10464
Honduras,Honduras,El Salvador,El Salvador,2005,6439
Honduras,Honduras,Nicaragua,Nicaragua,2005,5649
Honduras,Honduras,Estados Unidos,United States of America,2005,4946
Honduras,Honduras,Guatemala,Guatemala,2005,3351
Honduras,Honduras,México,Mexico,2005,1140
Honduras,Honduras,Otros,Otros,2005,6212
México,Mexico,Estados Unidos,United States of America,2005,520171
México,Mexico,Venezuela,Venezuela,2005,6528
México,Mexico,Guatemala,Guatemala,2005,29329
México,Mexico,Honduras,Honduras,2005,6704
México,Mexico,España,Spain,2005,19883
México,Mexico,Otros,Otros,2005,127931
Nicaragua,Nicaragua,Honduras,Honduras,2005,10745
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2005,9343
Nicaragua,Nicaragua,Estados Unidos,United States of America,2005,3085
Nicaragua,Nicaragua,El Salvador,El Salvador,2005,2121
Nicaragua,Nicaragua,Guatemala,Guatemala,2005,1529
Nicaragua,Nicaragua,Otros,Otros,2005,6396
Panamá,Panama,Venezuela,Venezuela,2005,4276
Panamá,Panama,Colombia,Colombia,2005,31157
Panamá,Panama,China,China,2005,12365
Panamá,Panama,Estados Unidos,United States of America,2005,7807
Panamá,Panama,Nicaragua,Nicaragua,2005,7240
Panamá,Panama,Otros,Otros,2005,46124
Argentina,Argentina,Paraguay,Paraguay,2005,451818
Argentina,Argentina,Bolivia,Bolivia,2005,294672
Argentina,Argentina,Chile,Chile,2005,195338
Argentina,Argentina,Peru,Peru,2005,127351
Argentina,Argentina,Venezuela,Venezuela,2005,1919
Argentina,Argentina,Otros,Otros,2005,543848
Bolivia,Bolivia,Argentina,Argentina,2005,32418
Bolivia,Bolivia,Brasil,Brazil,2005,18453
Bolivia,Bolivia,España,Spain,2005,6059
Bolivia,Bolivia,Peru,Peru,2005,9549
Bolivia,Bolivia,México,Mexico,2005,8760
Bolivia,Bolivia,Otros,Otros,2005,30500
Brasil,Brazil,Venezuela,Venezuela,2005,2524
Brasil,Brazil,Portugal,Portugal,2005,176510
Brasil,Brazil,Japón,Japan,2005,60300
Brasil,Brazil,Paraguay,Paraguay,2005,34146
Brasil,Brazil,Bolivia,Bolivia,2005,29671
Brasil,Brazil,Otros,Otros,2005,318973
