Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Brasil,Brazil,2019,3,Lectura,IV,30.1
Brasil,Brazil,2019,3,Matemáticas,I,31
Brasil,Brazil,2019,3,Matemáticas,II,22.1
Brasil,Brazil,2019,3,Matemáticas,III,28.9
Brasil,Brazil,2019,3,Matemáticas,IV,18
Brasil,Brazil,2019,6,Ciencias,I,31.9
Brasil,Brazil,2019,6,Ciencias,II,42.2
Brasil,Brazil,2019,6,Ciencias,III,17.5
Brasil,Brazil,2019,6,Ciencias,IV,8.4
Brasil,Brazil,2019,6,Lectura,I,12.6
Brasil,Brazil,2019,6,Lectura,II,43.9
Brasil,Brazil,2019,6,Lectura,III,18.8
Brasil,Brazil,2019,6,Lectura,IV,24.7
Brasil,Brazil,2019,6,Matemáticas,I,35.2
Brasil,Brazil,2019,6,Matemáticas,II,36
Brasil,Brazil,2019,6,Matemáticas,III,19.4
Brasil,Brazil,2019,6,Matemáticas,IV,9.4
Chile,Chile,2013,3,Lectura,I,10
Chile,Chile,2013,3,Lectura,II,14.5
Chile,Chile,2013,3,Lectura,III,35.7
Chile,Chile,2013,3,Lectura,IV,39.9
Chile,Chile,2013,3,Matemáticas,I,15.4
Chile,Chile,2013,3,Matemáticas,II,23.4
Chile,Chile,2013,3,Matemáticas,III,39.4
Chile,Chile,2013,3,Matemáticas,IV,21.9
Chile,Chile,2013,6,Ciencias,I,22.8
Chile,Chile,2013,6,Ciencias,II,34.7
Chile,Chile,2013,6,Ciencias,III,24.5
Chile,Chile,2013,6,Ciencias,IV,18
Chile,Chile,2013,6,Lectura,I,4.9
Chile,Chile,2013,6,Lectura,II,36.8
Chile,Chile,2013,6,Lectura,III,24.2
Chile,Chile,2013,6,Lectura,IV,34.2
Chile,Chile,2013,6,Matemáticas,I,16.2
Chile,Chile,2013,6,Matemáticas,II,39.5
Chile,Chile,2013,6,Matemáticas,III,25.9
Chile,Chile,2013,6,Matemáticas,IV,18.4
Chile,Chile,2019,3,Lectura,I,
Chile,Chile,2019,3,Lectura,II,
Chile,Chile,2019,3,Lectura,III,
Chile,Chile,2019,3,Lectura,IV,
Chile,Chile,2019,3,Matemáticas,I,
